task_id,test_idx,n_views,n_unique_grids,view_level_accuracy,top1_share,top2_share,top1_top2_gap,vote_entropy,top1_correct
00576224,0,510,20,0.9549019607843138,0.9549019607843138,0.0058823529411764705,0.9490196078431372,0.31332630703314507,True
009d5c81,0,510,3,0.996078431372549,0.996078431372549,0.00196078431372549,0.9941176470588236,0.028362538718628694,True
00dbd492,0,510,353,0.00980392156862745,0.12352941176470589,0.01764705882352941,0.10588235294117647,5.403820286253906,False
03560426,0,510,369,0.0,0.029411764705882353,0.013725490196078431,0.01568627450980392,5.737000447959717,False
05a7bcf2,0,510,313,0.01764705882352941,0.025490196078431372,0.023529411764705882,0.00196078431372549,5.5437432188478075,False
0607ce86,0,510,28,0.8352941176470589,0.8352941176470589,0.029411764705882353,0.8058823529411765,0.9236029133441688,True
0692e18c,0,510,190,0.16666666666666666,0.16666666666666666,0.045098039215686274,0.12156862745098039,4.399806046316444,True
070dd51e,0,510,11,0.1803921568627451,0.3764705882352941,0.1803921568627451,0.19607843137254902,1.6693731814323003,False
08573cc6,0,510,378,0.0,0.013725490196078431,0.011764705882352941,0.00196078431372549,5.789896662873783,False
0934a4d8,0,510,371,0.0,0.011764705882352941,0.00980392156862745,0.00196078431372549,5.810072592377154,False
09c534e7,0,510,288,0.011764705882352941,0.03137254901960784,0.021568627450980392,0.00980392156862745,5.445165394184315,False
0a1d4ef5,0,510,9,0.0,0.4588235294117647,0.3588235294117647,0.1,1.3271827079946976,False
0a2355a6,0,510,261,0.00980392156862745,0.16862745098039217,0.0784313725490196,0.09019607843137255,4.529547146148888,False
0b17323b,0,510,23,0.47843137254901963,0.47843137254901963,0.12156862745098039,0.3568627450980392,1.9253206588551142,True
0bb8deee,0,510,110,0.7274509803921568,0.7274509803921568,0.01568627450980392,0.711764705882353,1.8287037555169314,True
0becf7df,0,510,325,0.08627450980392157,0.08627450980392157,0.025490196078431372,0.060784313725490195,5.372955540074837,True
0c786b71,0,510,49,0.8941176470588236,0.8941176470588236,0.00392156862745098,0.8901960784313725,0.7438725153158633,True
0c9aba6e,0,510,39,0.7941176470588235,0.7941176470588235,0.027450980392156862,0.7666666666666667,1.1817209725841211,True
0d87d2a6,0,510,190,0.041176470588235294,0.3431372549019608,0.041176470588235294,0.30196078431372547,3.8899887245350073,False
0e671a1a,0,510,16,0.8509803921568627,0.8509803921568627,0.08431372549019608,0.7666666666666667,0.6652897257856297,True
0f63c0b9,0,510,4,0.3764705882352941,0.47058823529411764,0.3764705882352941,0.09411764705882353,1.1144243438345187,False
103eff5b,0,510,231,0.0,0.22549019607843138,0.07450980392156863,0.15098039215686274,4.262754951534553,False
11e1fe23,0,510,176,0.0,0.060784313725490195,0.050980392156862744,0.00980392156862745,4.664253200469376,False
12422b43,0,510,70,0.3784313725490196,0.3784313725490196,0.14901960784313725,0.22941176470588234,2.549355400069431,True
12997ef3,0,510,335,0.0,0.01568627450980392,0.013725490196078431,0.00196078431372549,5.629859376192802,False
12997ef3,1,510,413,0.0,0.00980392156862745,0.00980392156862745,0.0,5.9394387919608835,False
12eac192,0,510,277,0.00196078431372549,0.054901960784313725,0.0392156862745098,0.01568627450980392,5.176491900040181,False
136b0064,0,510,435,0.0,0.00784313725490196,0.00784313725490196,0.0,6.012489173689287,False
13713586,0,510,1,1.0,1.0,0.0,1.0,0.0,True
137f0df0,0,510,19,0.9490196078431372,0.9490196078431372,0.00784313725490196,0.9411764705882353,0.3430269137557659,True
140c817e,0,510,4,0.9823529411764705,0.9823529411764705,0.013725490196078431,0.9686274509803922,0.10080086750875492,True
14754a24,0,510,211,0.07450980392156863,0.07450980392156863,0.047058823529411764,0.027450980392156862,4.827334454730743,True
15113be4,0,510,367,0.0,0.01568627450980392,0.013725490196078431,0.00196078431372549,5.768339738651905,False
15663ba9,0,510,70,0.21372549019607842,0.21372549019607842,0.11176470588235295,0.10196078431372549,3.1633376487062757,True
15696249,0,510,30,0.8941176470588236,0.8941176470588236,0.0196078431372549,0.8745098039215686,0.6664116618649569,True
16b78196,0,510,382,0.0,0.00784313725490196,0.00784313725490196,0.0,5.851341390330122,False
17b80ad2,0,510,301,0.045098039215686274,0.045098039215686274,0.03725490196078431,0.00784313725490196,5.315163113647491,True
17cae0c1,0,510,158,0.01764705882352941,0.31176470588235294,0.08823529411764706,0.2235294117647059,3.5559036787988174,False
18419cfa,0,510,129,0.0,0.13725490196078433,0.06862745098039216,0.06862745098039216,4.091759519977689,False
184a9768,0,510,284,0.0,0.03137254901960784,0.029411764705882353,0.00196078431372549,5.333149736709865,False
195ba7dc,0,510,7,0.9588235294117647,0.9588235294117647,0.01764705882352941,0.9411764705882353,0.2288265218874979,True
1990f7a8,0,510,111,0.6627450980392157,0.6627450980392157,0.01764705882352941,0.6450980392156863,2.148370111351312,True
19bb5feb,0,510,1,1.0,1.0,0.0,1.0,0.0,True
1a2e2828,0,510,1,1.0,1.0,0.0,1.0,0.0,True
